condition,metric,mean,median,std,q10,q90
mixed,total_calendar_time,104.35351326666566,102.57630903005025,17.335879575205198,84.38361083457788,126.81353395544679
mixed,num_rework_cycles,1.216,1.0,0.9333199731842716,0.0,2.0
mixed,prop_defects_caught_early,0.1733333333333333,0.0,0.33869272039864606,0.0,1.0
mixed,num_late_defects,0.962,1.0,0.9023216548091235,0.0,2.0
mixed,handover_delay,2.196883110721521,0.0,3.992936501255978,0.0,9.34080689893745
plaintext,total_calendar_time,114.76964342269986,113.19191339922259,20.406304975142113,91.72710799150474,142.25720164156084
plaintext,num_rework_cycles,0.614,0.0,0.7524202765377143,0.0,2.0
plaintext,prop_defects_caught_early,0.2601666666666666,0.0,0.41834262139486666,0.0,1.0
plaintext,num_late_defects,0.288,0.0,0.5268882447397074,0.0,1.0
plaintext,handover_delay,0.4843633785638605,0.0,1.4045630343238638,0.0,3.4625798545245825
